"","Group.1","Group.2","Group.3","Group.4","Group.5","x","Group.1","Group.2","Group.3","Group.4","Group.5","x"
"39","Passer domesticus",192,"Beveridge and Deag, 1987","Time spent vigilant vs. Group Size","Beauchamp 2008",0.172,"Passer domesticus",192,"Beveridge and Deag, 1987","Time spent vigilant vs. Group Size","Beauchamp 2008",0.173726908
"40","Fringilla coelebs",196,"Beveridge and Deag, 1987","Time spent vigilant vs. Group Size","Beauchamp 2008",0.486,"Fringilla coelebs",196,"Beveridge and Deag, 1987","Time spent vigilant vs. Group Size","Beauchamp 2008",0.53080998
"41","Fringilla coelebs",231,"Beveridge and Deag, 1987","Time spent vigilant vs. Group Size","Beauchamp 2008",0.511,"Fringilla coelebs",231,"Beveridge and Deag, 1987","Time spent vigilant vs. Group Size","Beauchamp 2008",0.564082236
"42","Passer domesticus",281,"Beveridge and Deag, 1987","Time spent vigilant vs. Group Size","Beauchamp 2008",0.283,"Passer domesticus",281,"Beveridge and Deag, 1987","Time spent vigilant vs. Group Size","Beauchamp 2008",0.290940262
"43","Junco hyemalis",625,"Boysen et al., 2001","Time spent vigilant vs. Group Size","Beauchamp 2008",0.595,"Junco hyemalis",625,"Boysen et al., 2001","Time spent vigilant vs. Group Size","Beauchamp 2008",0.685370974
"44","Larus atricilla",279,"Burger and Gochfeld, 1991","Time spent vigilant vs. Group Size","Beauchamp 2008",0.334,"Larus atricilla",279,"Burger and Gochfeld, 1991","Time spent vigilant vs. Group Size","Beauchamp 2008",0.347323778
"45","Junco phaeonotus",97,"Caraco, 1979","Time spent vigilant vs. Group Size","Beauchamp 2008",0.6,"Junco phaeonotus",97,"Caraco, 1979","Time spent vigilant vs. Group Size","Beauchamp 2008",0.693147181
"46","Columbina squamata",142,"Dias, 2006","Time spent vigilant vs. Group Size","Beauchamp 2008",0.392,"Columbina squamata",142,"Dias, 2006","Time spent vigilant vs. Group Size","Beauchamp 2008",0.414160979
"47","Pica pica",113,"Diaz and Asensia, 1991","Time spent vigilant vs. Group Size","Beauchamp 2008",0.311,"Pica pica",113,"Diaz and Asensia, 1991","Time spent vigilant vs. Group Size","Beauchamp 2008",0.321652106
"48","Limosa limosa",535,"Dominguez, 2002","Time spent vigilant vs. Group Size","Beauchamp 2008",0.183,"Limosa limosa",535,"Dominguez, 2002","Time spent vigilant vs. Group Size","Beauchamp 2008",0.185084885
"49","Anser albifons frontalis",463,"Ely, 1992","Time spent vigilant vs. Group Size","Beauchamp 2008",-0.347,"Anser albifons frontalis",463,"Ely, 1992","Time spent vigilant vs. Group Size","Beauchamp 2008",-0.362029024
"50","Molothrus ater",126,"Fernandez-Juricic et al., 2007","Time spent vigilant vs. Group Size","Beauchamp 2008",0.312,"Molothrus ater",126,"Fernandez-Juricic et al., 2007","Time spent vigilant vs. Group Size","Beauchamp 2008",0.322759566
"51","Haematopus ostralegus",159,"Goss-Custard et al., 1999","Time spent vigilant vs. Group Size","Beauchamp 2008",-0.13,"Haematopus ostralegus",159,"Goss-Custard et al., 1999","Time spent vigilant vs. Group Size","Beauchamp 2008",-0.13073985
"52","Junco hyemalis",117,"Lima, 1995","Time spent vigilant vs. Group Size","Beauchamp 2008",0.722,"Junco hyemalis",117,"Lima, 1995","Time spent vigilant vs. Group Size","Beauchamp 2008",0.911810286
"53","Pica pica",91,"McKinstry and Knight, 1993","Time spent vigilant vs. Group Size","Beauchamp 2008",-0.876,"Pica pica",91,"McKinstry and Knight, 1993","Time spent vigilant vs. Group Size","Beauchamp 2008",-1.358307782
"54","Dendrocygna viduata",1656,"Petrie and Petrie, 1998","Time spent vigilant vs. Group Size","Beauchamp 2008",0.285,"Dendrocygna viduata",1656,"Petrie and Petrie, 1998","Time spent vigilant vs. Group Size","Beauchamp 2008",0.293115727
"55","Anas crecca crecca",157,"Poysa, 1994","Time spent vigilant vs. Group Size","Beauchamp 2008",0.199,"Anas crecca crecca",157,"Poysa, 1994","Time spent vigilant vs. Group Size","Beauchamp 2008",0.201691104
"56","Pyrrhocorax pyrrhocorax",152,"Rolando et al., 2001","Time spent vigilant vs. Group Size","Beauchamp 2008",0.266,"Pyrrhocorax pyrrhocorax",152,"Rolando et al., 2001","Time spent vigilant vs. Group Size","Beauchamp 2008",0.272554287
"57","Corvus corone corone",1203,"Saino, 1994","Time spent vigilant vs. Group Size","Beauchamp 2008",0.205,"Corvus corone corone",1203,"Saino, 1994","Time spent vigilant vs. Group Size","Beauchamp 2008",0.207946366
"58","Phoenicopterus ruber ruber ",887,"Schmitz and Baldassarre, 1992","Time spent vigilant vs. Group Size","Beauchamp 2008",0.85,"Phoenicopterus ruber ruber ",887,"Schmitz and Baldassarre, 1992","Time spent vigilant vs. Group Size","Beauchamp 2008",1.256152812
"59","Grus canadensis",1097,"Tacha, 1988","Time spent vigilant vs. Group Size","Beauchamp 2008",0.1,"Grus canadensis",1097,"Tacha, 1988","Time spent vigilant vs. Group Size","Beauchamp 2008",0.100335348
"60","Emberiza citrinella",226,"Van der veen, 2000","Time spent vigilant vs. Group Size","Beauchamp 2008",0.221,"Emberiza citrinella",226,"Van der veen, 2000","Time spent vigilant vs. Group Size","Beauchamp 2008",0.224707214
"61","Corvus frugilegus",139,"Waite, 1981","Time spent vigilant vs. Group Size","Beauchamp 2008",0.631,"Corvus frugilegus",139,"Waite, 1981","Time spent vigilant vs. Group Size","Beauchamp 2008",0.743075979
"62","Empidonax virescens",101,"Lynch & Whigham, 1984","Population Density","Bender, 1998",0.07,"Empidonax virescens",101,"Lynch & Whigham, 1984","Population Density","Bender, 1998",0.0701
"63","Myiarchus crinitus",102,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.07,"Myiarchus crinitus",102,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.0701
"64","Colaptes auratus",106,"Lynch & Whigham, 1984","Population Density","Bender, 1998",0.07,"Colaptes auratus",106,"Lynch & Whigham, 1984","Population Density","Bender, 1998",0.0701
"65","Pipilo erythropththalmus",116,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.06,"Pipilo erythropththalmus",116,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.0601
"66","Piranga olivacea",155,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.05,"Piranga olivacea",155,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.05
"67","Cyanocitte cristata",156,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.05,"Cyanocitte cristata",156,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.05
"68","Parus carolinensis",159,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.05,"Parus carolinensis",159,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.05
"69","Vireo olivaceus",172,"Lynch & Whigham, 1984","Population Density","Bender, 1998",0.05,"Vireo olivaceus",172,"Lynch & Whigham, 1984","Population Density","Bender, 1998",0.05
"70","Parus bicolor",181,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.05,"Parus bicolor",181,"Lynch & Whigham, 1984","Population Density","Bender, 1998",-0.05
"71","",416,"Blackburn and Duncan, 2001","","Blackburn 2009",0.189,"",416,"Blackburn and Duncan, 2001","","Blackburn 2009",0.191299921
"72","",433,"Brooks , 2001","","Blackburn 2009",0.101,"",433,"Brooks , 2001","","Blackburn 2009",0.1037398815
"73","",433,"Brooks, 2001","","Blackburn 2009",0.0745,"",433,"Brooks, 2001","","Blackburn 2009",0.0756499605
"74","",104,"Cassey , 2001","","Blackburn 2009",-0.282,"",104,"Cassey , 2001","","Blackburn 2009",-0.289853534
"75","",168,"Cassey , 2002","","Blackburn 2009",0.291,"",168,"Cassey , 2002","","Blackburn 2009",0.299658432
"76","",266,"Cassey , 2002","","Blackburn 2009",-0.286,"",266,"Cassey , 2002","","Blackburn 2009",-0.294204471
"77","",375,"Cassey , 2002","","Blackburn 2009",-0.229,"",375,"Cassey , 2002","","Blackburn 2009",-0.233133868
"78","",377,"Cassey , 2002","","Blackburn 2009",-0.324,"",377,"Cassey , 2002","","Blackburn 2009",-0.33610983
"79","",393,"Cassey , 2002","","Blackburn 2009",0.651,"",393,"Cassey , 2002","","Blackburn 2009",0.777032261
"80","",396,"Cassey , 2002","","Blackburn 2009",0.198,"",396,"Cassey , 2002","","Blackburn 2009",0.201085416
"81","",398,"Cassey , 2002","","Blackburn 2009",0.162,"",398,"Cassey , 2002","","Blackburn 2009",0.163439918
